2101,1833
2100,1896
2098,1943
1808,1920
1813,1895
1810,1878
1803,1854
1810,1845
1712,1821
1705,1794
1709,1770
1712,1760
1706,1750
2176,1826
2185,1915
2184,1982
2181,2025
2183,2059
1460,1947
1454,1832
1454,1744
1460,1674
1460,1632
1783,1654
1786,1683
1789,1710
1785,1732
1782,1739
1897,1771
1894,1808
1890,1825
1894,1838
1898,1855
1943,1876
1938,1884
1945,1899
1946,1916
1941,1920
2241,1980
2244,2042
2236,2091
2233,2120
2240,2145
2460,2217
2456,2266
2461,2310
2469,2349
2458,2376
1919,2279
1920,2196
1916,2133
1912,2080
1916,2037
2150,2062
2145,2085
2139,2092
2147,2105
2148,2119
1592,2017
1589,1916
1595,1841
1597,1785
1594,1744
2335,1853
2340,1968
2339,2059
2336,2124
2335,2172
1667,2073
1667,1976
1665,1910
1660,1848
1666,1803
1365,1716
1364,1641
1360,1574
1369,1527
1368,1493
1995,1591
1988,1684
2000,1755
2000,1815
1995,1860
2219,1930
2226,1995
2231,2058
2224,2096
2219,2118
2144,2127
2145,2136
2145,2137
2143,2136
2139,2136
2001,2113
1999,2084
1999,2063
2001,2044
1998,2039
1282,1888
1286,1749
1290,1642
1283,1564
1280,1497
2020,1590
2025,1701
2016,1772
2014,1830
2021,1871
1899,1887
1896,1888
1898,1887
1901,1891
1897,1896
2168,1946
2176,1998
2180,2042
2172,2075
2169,2093
2278,2130
2280,2170
2274,2198
2277,2210
2279,2224
1600,2105
1600,1986
1608,1893
1608,1829
1602,1778
1869,1786
1877,1808
1879,1832
1875,1840
1877,1845
2112,1900
2109,1956
2112,1992
2112,2015
2113,2039
1372,1912
1370,1784
1378,1688
1385,1623
1376,1567
2019,1646
2025,1734
2022,1808
2017,1856
2020,1890
1825,1883
1824,1873
1816,1852
1821,1847
1827,1845
2411,1960
2409,2059
2413,2140
2412,2209
2410,2255
1600,2125
1606,2005
1600,1912
1593,1833
1600,1780
1323,1690
1318,1607
1320,1537
1321,1488
1317,1456
1610,1482
1619,1514
1621,1541
1616,1562
1608,1566
2071,1667
2072,1769
2066,1838
2065,1886
2071,1927
2480,2043
2476,2144
2484,2217
2485,2278
2479,2327
2008,2264
2016,2204
2020,2167
2012,2130
2015,2098
2037,2084
2038,2080
2032,2066
2041,2057
2041,2056
1240,1899
1237,1740
1241,1627
1244,1548
1240,1479
1244,1421
1246,1382
1241,1356
1238,1332
1243,1307
2449,1531
2444,1744
2444,1899
2449,2025
2446,2128
1301,1974
1310,1816
1312,1701
1308,1613
1299,1536
1896,1598
1901,1678
1891,1726
1893,1760
1896,1792
1782,1801
1781,1794
1786,1789
1789,1793
1782,1792
1626,1750
1637,1727
1639,1712
1635,1693
1635,1675
1372,1612
1369,1564
1364,1515
1371,1481
1373,1457
1402,1448
1393,1432
1399,1424
1401,1426
1395,1420
1995,1528
1996,1639
1989,1722
1987,1781
1992,1829
1993,1872
1987,1897
1985,1914
1990,1928
1986,1952
1423,1844
1429,1745
1432,1673
1425,1620
1421,1569
1378,1524
1377,1502
1376,1470
1383,1448
1382,1431
1667,1481
1662,1523
1667,1553
1673,1588
1665,1606
1927,1665
1933,1729
1931,1779
1930,1817
1933,1842
1648,1808
1644,1769
1638,1735
1643,1712
1647,1703
2028,1768
2029,1825
2029,1872
2026,1914
2024,1936
1949,1939
1953,1943
1945,1945
1938,1938
1949,1942
2157,1992
2157,2030
2161,2056
2163,2081
2158,2100
1459,1968
1465,1850
1470,1767
1466,1698
1465,1641
1393,1587
1392,1548
1385,1507
1391,1480
1393,1465
1945,1561
1940,1644
1946,1716
1948,1776
1944,1813
1327,1717
1332,1627
1325,1560
1320,1501
1326,1459
2011,1568
2005,1673
2001,1746
2008,1805
2006,1858
2056,1898
2064,1936
2065,1967
2058,1988
2052,2000
1928,1985
1928,1977
1924,1965
1927,1950
1933,1949
1350,1834
1346,1716
1352,1629
1354,1573
1345,1517
2226,1648
2233,1788
2228,1896
2230,1970
2233,2028
1582,1950
1579,1864
1574,1789
1579,1740
1576,1710
2152,1789
2157,1875
2161,1947
2155,1996
2151,2025
2107,2044
2108,2068
2100,2072
2107,2078
2112,2085
2270,2128
2264,2154
2273,2180
2273,2206
2268,2218
2255,2223
2261,2232
2254,2240
2250,2242
2256,2241
1530,2107
1523,1970
1521,1859
1523,1783
1522,1728
1256,1629
1261,1544
1266,1486
1260,1438
1255,1390
1394,1389
1390,1396
1384,1392
1393,1392
1395,1395
1748,1465
1745,1524
1752,1580
1750,1626
1744,1654
1867,1695
1868,1737
1864,1769
1859,1783
1865,1807
